"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Direkter Eigenverbrauch ";"Eigenverbrauch ";"Ladung des E-Fahrzeugs(PV-Anlage) ";"Ladung des E-Fahrzeugs(Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung ";"Entladen des E-Fahrzeugs ins Netz ";"Verluste durch Laden/Entladen ";"Ladung des E-Fahrzeugs (Gruppe 1) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 1) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 1)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 1)  ";"Verluste durch Laden/Entladen (Gruppe 1)  ";"Ladung des E-Fahrzeugs (Gruppe 2) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 2) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 2)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 2)  ";"Verluste durch Laden/Entladen (Gruppe 2)  ";"Ladung des E-Fahrzeugs (Gruppe 3) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 3) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 3)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 3)  ";"Verluste durch Laden/Entladen (Gruppe 3)  ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 1 ";"Zyklenbelastung (Elektrofahrzeug 1) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 2 ";"Zyklenbelastung (Elektrofahrzeug 2) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 3 ";"Zyklenbelastung (Elektrofahrzeug 3) ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;-;0_1;-;0_1;-;0_1;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

19.02. 08:00;0,05829;0,045122;-0,25;0;221,76;296,22;0;74,463;74,463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4767;0,006305;0,4767;0,006305;0,99996;0,005913;0,05829;-0,0005829;0,00056249;0,0016051;-0,00056253;-0,010079;0;0,049233;438,56;0;0;-350,16;88,406;-6,3076;-4,0301;6,5139;-0,12713;-1,6891;-1,5282;0;81,237;0;0;0;0;0;-0,21879;81,019;81,019;-0,22792;-6,3273;0;0;74,463;74,463;
19.02. 09:00;0,13275;0,10494;1,3;0;97,294;284,74;0;187,45;187,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47668;0,006305;0,47668;0,006305;0,99992;0,005913;0,13275;-0,0013275;0,001281;-0,0034284;-0,001328;-0,014275;0;0,11367;1012,6;0;0;-809,22;203,35;-7,4676;-7,428;13,612;-0,31667;-4,0351;-3,702;0;194,02;0;0;0;0;0;-0,33484;193,68;193,68;-0,6269;-5,6085;0;0;187,45;187,45;
19.02. 10:00;0,19652;0,15574;2,79;75,247;0;214,3;0;214,3;214,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47666;0,006305;0,47666;0,006305;0,99988;0,005913;0,19652;-0,0019652;0,0018964;-0,0077547;-0,0019741;-0,01551;0;0,17121;1525,1;0;0;-1219,1;306,05;-7,0141;-7,0155;17,877;-0,30772;-6,1919;-5,8493;0;297,55;0;0;0;0;0;-0,35774;297,19;297,19;-0,93445;-6,7136;0;0;289,55;289,55;
19.02. 11:00;0,24543;0,19146;4,12;223,21;0;145,1;0;145,1;145,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47664;0,006305;0,47664;0,006305;0,99983;0,005913;0,24543;-0,0024543;0,0023684;-0,010804;-0,0024001;-0,017086;0;0,21505;1915,7;0;0;-1531,3;384,32;-6,2776;-7,4903;19,265;-0,45503;-7,7872;-4,0111;0;377,56;0;0;0;0;0;-0,39586;377,17;377,17;-1,1896;-7,6651;0;0;368,31;368,31;
19.02. 12:00;0,30077;0,20571;5,43;314,67;0;139,44;0;139,44;139,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47662;0,006305;0,47662;0,006305;0,99979;0,005913;0,30077;-0,0030077;0,0029024;-0,011785;-0,0023355;-0,022272;0;0,26427;2354,1;0;0;-1881,7;472,38;-5,2042;-8,3707;19,377;-0,30623;-9,5575;-3,4415;0;464,87;0;0;0;0;0;-0,46378;464,41;464,41;-1,4176;-8,8879;0;0;454,11;454,11;
19.02. 13:00;0,21508;0,18641;5,81;193,16;0;129,16;0;129,16;129,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4766;0,006305;0,4766;0,006305;0,99975;0,005913;0,21508;-0,0021508;0,0020755;-0,0092773;-0,002506;-0,012586;0;0,19064;1698,2;0;0;-1357,4;340,74;-7,2472;-7,5364;15,734;-0,17395;-6,8303;-3,9473;0;330,74;0;0;0;0;0;-0,36509;330,37;330,37;-1,0065;-7,0413;0;0;322,32;322,32;
19.02. 14:00;0,21741;0,17082;6,1;194,38;0;122,9;0;122,9;122,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47658;0,006305;0,47658;0,006305;0,99971;0,005913;0,21741;-0,0021741;0,002098;-0,0077518;-0,0021523;-0,016242;0;0,19119;1703,1;0;0;-1361,2;341,86;-7,1267;-10,611;15,346;-0,26473;-6,784;-6,8079;0;325,61;0;0;0;0;0;-0,3656;325,24;325,24;-0,97885;-6,9835;0;0;317,28;317,28;
19.02. 15:00;0,17024;0,12599;6,09;112,71;0;120,92;0;120,92;120,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47656;0,006305;0,47656;0,006305;0,99967;0,005913;0,17024;-0,0017024;0,0016428;-0,0040735;-0,0015199;-0,018134;0;0,14645;1304,6;0;0;-1042,5;262,06;-7,6481;-13,342;12,384;-0,3606;-5,0618;-7,1986;0;240,83;0;0;0;0;0;-0,33941;240,49;240,49;-0,71453;-6,1437;0;0;233,63;233,63;
19.02. 16:00;0,05632;0,052892;5,21;0;43,073;118,84;0;75,767;75,767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47654;0,006305;0,47654;0,006305;0,99963;0,005913;0,05632;-0,0005632;0,00054348;-0,0022035;-0,00074295;-0,004008;0;0,049346;439,56;0;0;-351,33;88,236;-7,1845;-2,8179;5,0374;-0,066681;-1,6641;-0,54383;0;80,996;0;0;0;0;0;-0,22056;80,776;80,776;-0,20745;-4,8015;0;0;75,767;75,767;
19.02. 17:00;0,002;0,00198;4,11;0;119,81;119,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0,002;-2E-05;1,93E-05;-9,6497E-05;-2,8375E-05;-9,3722E-05;0;0,0017807;15,862;0;0;-12,68;3,1822;-1,2568;-0,069117;0,13768;-2,6472E-06;-0,039878;-0,0097853;0;1,9442;-1,9442;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
19.02. 18:00;0;0;4,24;0;131,27;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
19.02. 19:00;0;0;4,38;0;124,77;124,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
19.02. 20:00;0;0;4,51;0;125,21;124,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
19.02. 21:00;0;0;4,65;0;126,71;126,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
19.02. 22:00;0;0;4,78;0;124,35;124,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
19.02. 23:00;0;0;4,92;0;127,09;126,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 00:00;0;0;4,93;0;123,91;123,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 01:00;0;0;4,95;0;125,45;125,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 02:00;0;0;4,97;0;124,37;124,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 03:00;0;0;4,93;0;125,27;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 04:00;0;0;4,84;0;124,55;124,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 05:00;0;0;4,88;0;122,97;122,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47652;0,006305;0,47652;0,006305;0,99958;0,005913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 06:00;0;0;4,99;0;126,37;126,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22214;0,00649;0,22214;0,00649;0,75646;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 07:00;0,00053;0,0005247;5,02;0;383,71;119,56;0;0;0;0;263,88;0;0;5,2775;0;4,7498E+08;0;0;9,4995E+06;0;4,7498E+08;0;0;9,4995E+06;0;0;0;0;0;0,36749;0,00649;0,36749;0,00649;0,75643;0,006077;0,00053;-5,3E-06;5,1139E-06;-2,5572E-05;-7,5194E-06;-2,4836E-05;0;0,00047189;4,2035;0;0;-3,3602;0,84327;-0,84327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 08:00;0,01186;0,011544;5,29;0;373,67;118,36;0;3,7482;8,6959;4,9476;259,06;0;0;5,2801;8,9058E+06;4,663E+08;0;0;9,5042E+06;8,9058E+06;4,663E+08;0;0;9,5042E+06;0;0;0;0;0;0,50814;0,00649;0,50814;0,00649;0,7564;0,006077;0,01186;-0,0001186;0,00011445;-0,00052323;-0,00016512;-0,00064173;0;0,010526;93,762;0;0;-74,947;18,815;-3,7562;-0,43479;1,0056;-1,6772E-05;-0,31258;-0,063059;0;15,253;-0,069413;-0,0021907;0;0;0;-0,050583;15,131;15,131;-0,026848;-6,3986;-0,01;0;8,6959;8,7059;
20.02. 09:00;0,02726;0,026537;5,62;0;87,511;116,82;0;29,309;29,309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50812;0,00649;0,50812;0,00649;0,75637;0,006077;0,02726;-0,0002726;0,00026306;-0,0012781;-0,00037957;-0,0013781;0;0,024215;215,7;0;0;-172,43;43,275;-5,5626;-0,98324;2,5129;-4,0147E-05;-0,78484;-0,1688;0;38,288;0;0;0;0;0;-0,11977;38,168;38,168;-0,082072;-8,7769;0;0;29,309;29,309;
20.02. 10:00;0,03877;0,037726;5,93;0;69,173;116,9;0;47,727;47,727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50809;0,00649;0,50809;0,00649;0,75634;0,006077;0,03877;-0,0003877;0,00037413;-0,0018495;-0,00053963;-0,0018948;0;0,034473;307,08;0;0;-245,47;61,604;-6,4711;-1,3475;3,4475;-5,7672E-05;-1,1447;-0,24944;0;55,839;0;0;0;0;0;-0,16566;55,673;55,673;-0,13094;-7,8151;0;0;47,727;47,727;
20.02. 11:00;0,04719;0,045918;6,19;0;53,833;116,28;0;62,447;62,447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50807;0,00649;0,50807;0,00649;0,7563;0,006077;0,04719;-0,0004719;0,00045538;-0,0022656;-0,00065681;-0,0022746;0;0,041976;373,92;0;0;-298,91;75,013;-6,9671;-1,6263;4,1346;-7,0675E-05;-1,4111;-0,30779;0;68,835;0;0;0;0;0;-0,19583;68,639;68,639;-0,17228;-6,0203;0;0;62,447;62,447;
20.02. 12:00;0,05461;0,053182;6,4;0;38,937;113,94;0;75,003;75,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50805;0,00649;0,50805;0,00649;0,75627;0,006077;0,05461;-0,0005461;0,00052698;-0,002616;-0,00076068;-0,0026166;0;0,048598;432,9;0;0;-346,05;86,846;-7,325;-1,8793;4,7216;-8,225E-05;-1,6473;-0,36298;0;80,353;0;0;0;0;0;-0,21981;80,133;80,133;-0,20663;-4,9233;0;0;75,003;75,003;
20.02. 13:00;0,05123;0,049873;6,54;0;44,376;113,82;0;69,444;69,444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50803;0,00649;0,50803;0,00649;0,75624;0,006077;0,05123;-0,0005123;0,00049436;-0,0024457;-0,00071336;-0,0024604;0;0,045593;406,13;0;0;-324,66;81,476;-7,1863;-1,7818;4,3927;-7,6883E-05;-1,538;-0,33798;0;75,025;0;0;0;0;0;-0,20902;74,816;74,816;-0,19117;-5,1805;0;0;69,444;69,444;
20.02. 14:00;0,0453;0,044115;6,61;0;55,795;114,66;0;58,865;58,865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50801;0,00649;0,50801;0,00649;0,75621;0,006077;0,0453;-0,000453;0,00043714;-0,0021525;-0,00063098;-0,0021964;0;0,040304;359,02;0;0;-287;72,027;-6,8936;-1,6069;3,866;-6,7644E-05;-1,3478;-0,30079;0;65,744;0;0;0;0;0;-0,18888;65,555;65,555;-0,16162;-6,5278;0;0;58,865;58,865;
20.02. 15:00;0,03453;0,033642;6,61;0;76,076;116,48;0;40,404;40,404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50799;0,00649;0,50799;0,00649;0,75618;0,006077;0,03453;-0,0003453;0,00033321;-0,0016272;-0,00048118;-0,0017139;0;0,030696;273,43;0;0;-218,58;54,857;-6,2189;-1,2613;2,9289;-5,1E-05;-1,0061;-0,22449;0;49,075;0;0;0;0;0;-0,14861;48,926;48,926;-0,11157;-8,4111;0;0;40,404;40,404;
20.02. 16:00;0,01914;0,018653;6,45;0;98,304;115,76;0;17,456;17,456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50797;0,00649;0,50797;0,00649;0,75615;0,006077;0,01914;-0,0001914;0,0001847;-0,0008822;-0,00026679;-0,0010086;0;0,016976;151,22;0;0;-120,88;30,34;-4,7894;-0,74083;1,5828;-2,7556E-05;-0,52785;-0,11004;0;25,755;0;0;0;0;0;-0,083293;25,672;25,672;-0,051323;-8,1642;0;0;17,456;17,456;
20.02. 17:00;0,00231;0,0022869;5,62;0;116,89;116,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0,00231;-2,31E-05;2,2292E-05;-0,00011146;-3,2775E-05;-0,00010825;0;0,0020567;18,321;0;0;-14,645;3,6754;-1,4135;-0,07983;0,15019;-3,0556E-06;-0,046645;-0,0098918;0;2,2757;-1,5025;0;0;0;0;-0,0037834;0,76941;0,76941;-0,00048876;-0,62975;-0,21;0;-0,070826;0,13917;
20.02. 18:00;0;0;6,23;0;124,45;124,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 19:00;0;0;6,02;0;182,77;182,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 20:00;0;0;6,27;0;222,61;222,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 21:00;0;0;6,35;0;226,65;226,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 22:00;0;0;6,33;0;526,25;525,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
20.02. 23:00;0;0;6,18;0;551,47;551,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 00:00;0;0;6,37;0;563,87;563,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 01:00;0;0;6,35;0;503,47;503,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 02:00;0;0;6,36;0;543,87;543,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 03:00;0;0;6,36;0;579,25;578,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 04:00;0;0;6,37;0;566,33;566,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 05:00;0;0;6,38;0;536,53;536,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50795;0,00649;0,50795;0,00649;0,75611;0,006077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 06:00;0;0;6,38;0;710,21;709,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25357;0,006667;0,25357;0,006667;0,513;0,006242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 07:00;0,00074;0,0007326;6,42;0;1022,5;758,36;0;0;0;0;263,84;0;0;5,2769;0;4,7492E+08;0;0;9,4984E+06;0;4,7492E+08;0;0;9,4984E+06;0;0;0;0;0;0,39793;0,006667;0,39793;0,006667;0,51298;0,006242;0,00074;-7,4E-06;7,1417E-06;-3,5706E-05;-1,05E-05;-3,4678E-05;0;0,00065886;5,869;0;0;-4,6916;1,1774;-1,1774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
21.02. 08:00;0,04821;0,043597;7,48;0;959,4;756,14;0;26,182;60,743;34,561;229,44;0;0;5,2801;6,2209E+07;4,13E+08;0;0;9,5042E+06;6,2209E+07;4,13E+08;0;0;9,5042E+06;0;0;0;0;0;0,5375;0,006667;0,5375;0,006667;0,51296;0,006242;0,04821;-0,0004821;0,00046522;-0,0011149;-0,00060068;-0,0045006;0;0,041977;373,92;0;0;-298,79;75,135;-6,9164;-2,2801;3,8126;-0,03171;-1,3944;-0,73992;0;67,585;0;0;0;0;0;-0,19304;67,392;67,392;-0,1669;-6,4824;0;0;60,743;60,743;
21.02. 09:00;0,07824;0,075427;8,27;0;615,43;725,68;0;110,25;110,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53748;0,006667;0,53748;0,006667;0,51294;0,006242;0,07824;-0,0007824;0,00075501;-0,0035847;-0,0010717;-0,0041835;0;0,069373;617,96;0;0;-493,98;123,98;-8,2074;-2,9087;5,8983;-0,00011638;-2,3753;-0,60532;0;115,79;0;0;0;0;0;-0,27798;115,51;115,51;-0,30844;-4,9522;0;0;110,25;110,25;
21.02. 10:00;0,11192;0,10816;9,05;0;580;742,3;0;162,3;162,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53745;0,006667;0,53745;0,006667;0,51292;0,006242;0,11192;-0,0011192;0,00108;-0,005304;-0,0015383;-0,005603;0;0,099435;885,76;0;0;-708,06;177,7;-8,7822;-3,8926;7,6675;-0,00016846;-3,4538;-0,86071;0;168,38;0;0;0;0;0;-0,31941;168,06;168,06;-0,46528;-5,2891;0;0;162,3;162,3;
21.02. 11:00;0,11882;0,11596;9,58;0;572,57;745,38;0;172,81;172,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53743;0,006667;0,53743;0,006667;0,5129;0,006242;0,11882;-0,0011882;0,0011466;-0,0057081;-0,0016552;-0,0057142;0;0,1057;941,57;0;0;-752,68;188,89;-8,8934;-4,0965;7,7118;-0,00018123;-3,6722;-0,85775;0;179,08;0;0;0;0;0;-0,32106;178,76;178,76;-0,49493;-5,4551;0;0;172,81;172,81;
21.02. 12:00;0,08417;0,08248;9,68;0;648,45;767,84;0;119,39;119,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53741;0,006667;0,53741;0,006667;0,51287;0,006242;0,08417;-0,0008417;0,00081223;-0,004043;-0,0011799;-0,0040004;0;0,074917;667,35;0;0;-533,47;133,88;-8,5119;-2,9064;5,6841;-0,0001277;-2,5629;-0,58326;0;125;0;0;0;0;0;-0,28877;124,71;124,71;-0,33529;-4,9841;0;0;119,39;119,39;
