"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Direkter Eigenverbrauch ";"Eigenverbrauch ";"Ladung des E-Fahrzeugs(PV-Anlage) ";"Ladung des E-Fahrzeugs(Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung ";"Entladen des E-Fahrzeugs ins Netz ";"Verluste durch Laden/Entladen ";"Ladung des E-Fahrzeugs (Gruppe 1) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 1) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 1)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 1)  ";"Verluste durch Laden/Entladen (Gruppe 1)  ";"Ladung des E-Fahrzeugs (Gruppe 2) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 2) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 2)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 2)  ";"Verluste durch Laden/Entladen (Gruppe 2)  ";"Ladung des E-Fahrzeugs (Gruppe 3) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 3) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 3)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 3)  ";"Verluste durch Laden/Entladen (Gruppe 3)  ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 1 ";"Zyklenbelastung (Elektrofahrzeug 1) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 2 ";"Zyklenbelastung (Elektrofahrzeug 2) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 3 ";"Zyklenbelastung (Elektrofahrzeug 3) ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;-;0_1;-;0_1;-;0_1;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

Jul;157,73;91,739;18,884;80627;1,9244E+05;3,2096E+05;0;1,3039E+05;1,3899E+05;9427,2;1791,8;0;0;224,38;1,5791E+10;3,2085E+09;0;0;3,8002E+08;1,5791E+10;3,2085E+09;0;0;3,8002E+08;2,3568E+09;3,3595E+07;0;0;4,7738E+07;0,50665;0;0,50665;0;0,75916;0;157,73;-1,5773;1,522;-8,541;-1,0099;-8,2621;0;139,86;1,2458E+06;0;0;-9,9601E+05;2,4983E+05;-4010,8;-5159,4;-8587,6;-83,022;-4639,7;-1004,2;0;2,2634E+05;-41,561;-5,6451;0;0;-4,3321;-239,93;2,2605E+05;2,2605E+05;-673,95;-4929,5;-73,726;0;2,2037E+05;2,2045E+05;
Aug;126,93;78,839;18,585;45270;2,3061E+05;3,5089E+05;0;1,2428E+05;1,3111E+05;7658,8;3918,6;0;0;231,55;1,2593E+10;6,8823E+09;0;0;3,8951E+08;1,2593E+10;6,8823E+09;0;0;3,8951E+08;2,3855E+09;3,4238E+08;0;0;5,4558E+07;0,51185;0;0,51185;0;0,73855;0;126,93;-1,2693;1,2249;-6,1859;-0,91711;-7,7074;0;112,08;9,9839E+05;0;0;-7,9812E+05;2,0027E+05;-3637;-4561,5;-5209,3;-74,904;-3735,7;-988,93;0;1,8206E+05;-24,881;-12,207;0;0;-3,8638;-197,33;1,8182E+05;1,8182E+05;-532,47;-4077,9;-83,65;0;1,7713E+05;1,7721E+05;
Sep;84,848;46,554;14,659;30559;2,5998E+05;3,3803E+05;0;83651;87565;4653,9;5509,5;0;0;203,27;7,6493E+09;9,4514E+09;0;0;3,4201E+08;7,6493E+09;9,4514E+09;0;0;3,4201E+08;1,4555E+09;9,3137E+08;0;0;4,7738E+07;0,50055;0;0,50055;0;0,76331;0;84,848;-0,84848;0,81877;-3,6136;-0,52164;-6,316;0;74,367;6,6245E+05;0;0;-5,2953E+05;1,3292E+05;-2804,8;-3174,3;-1263,5;-59,121;-2512,3;-639,42;0;1,2246E+05;-22,385;-11,152;0;0;0;-145,48;1,2228E+05;1,2228E+05;-351,57;-3067,7;-96,905;0;1,1877E+05;1,1887E+05;
Okt;52,538;30,535;10,795;19013;2,8487E+05;3,2646E+05;0;51528;53353;1930,3;9816,8;0;0;234,94;3,3339E+09;1,6617E+10;0;0;3,9902E+08;3,3339E+09;1,6617E+10;0;0;3,9902E+08;2,8113E+08;2,1058E+09;0;0;4,7738E+07;0,50926;0;0,50926;0;0,72972;0;52,538;-0,52538;0,50698;-1,5384;-0,33656;-5,3059;0;45,338;4,0387E+05;0;0;-3,2277E+05;81095;-2279,2;-2469,6;997,56;-58,086;-1545,7;-665,64;0;75074;-27,955;-6,1562;0;0;0;-100,04;74940;74940;-210,25;-2258;-118,14;0;72354;72472;
Nov;24,525;16,212;6,4449;1748,5;3,5774E+05;3,7746E+05;0;30695;30901;206,35;10843;0;0;220,99;3,7143E+08;1,8154E+10;0;0;3,7051E+08;3,7143E+08;1,8154E+10;0;0;3,7051E+08;0;2,7279E+09;0;0;5,4558E+07;0,51404;0;0,51404;0;0,75216;0;24,525;-0,24525;0,23666;-0,31354;-0,19569;-3,1999;0;20,807;1,8535E+05;0;0;-1,4809E+05;37254;-1680,7;-1464;1452,1;-29,096;-710,65;-422,86;0;34399;-29,162;-7,6201;0;0;-4,4113;-60,112;34298;34298;-96,975;-1549;-130,86;0;32521;32652;
Dez;15,789;10,691;2,9761;1604,1;2,7879E+05;2,8643E+05;0;18469;18470;0,73013;10690;0;0;213,82;1,3142E+06;1,8049E+10;0;0;3,6101E+08;1,3142E+06;1,8049E+10;0;0;3,6101E+08;0;2,3869E+09;0;0;4,7738E+07;0,51724;0;0,51724;0;0,74934;0;15,789;-0,15789;0,15236;0,07092;-0,12653;-2,521;0;13,207;1,1765E+05;0;0;-93974;23671;-1331,1;-1148,2;1229;-22,308;-447,97;-340,36;0;21610;-17,341;-6,5654;0;0;-0,32049;-43,951;21542;21542;-61,812;-1404,9;-144,87;0;19931;20075;

01.01. 00:00;0;0;9,99;0;114,63;114,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 01:00;0;0;11,02;0;113,75;113,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 02:00;0;0;10,74;0;113,69;113,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
